% xData0 , data0, errData0, xTheory0 , theory0
 , , , 4.743, 0.544360949
 , , , 4.762, 0.544360949
 , , , 4.781, 0.544360949
 , , , 4.8, 0.544360949
 , , , 4.819, 0.544360949
 , , , 4.838, 0.544360949
 , , , 4.857, 0.544360949
 , , , 4.876, 0.544360949
 , , , 4.895, 0.544360949
 , , , 4.914, 0.540399718
 , , , 4.933, 0.540399718
 , , , 4.952, 0.540399718
 , , , 4.971, 0.540399718
 , , , 4.99, 0.540399718
 , , , 5.009, 0.540399718
 , , , 5.028, 0.540399718
 , , , 5.047, 0.540399718
 , , , 5.066, 0.540399718
 , , , 5.085, 0.540399718
 , , , 5.104, 0.540399718
 , , , 5.123, 0.540399718
 , , , 5.142, 0.540399718
 , , , 5.161, 0.540399718
 , , , 5.18, 0.540399718
 , , , 5.199, 0.540399718
 , , , 5.218, 0.540399718
 , , , 5.237, 0.540399718
 , , , 5.256, 0.540399718
 , , , 5.275, 0.540399718
 , , , 5.294, 0.540399718
 , , , 5.313, 0.540399718
 , , , 5.332, 0.540399718
 , , , 5.351, 0.540399718
 , , , 5.37, 0.540399718
 , , , 5.389, 0.540399718
 , , , 5.408, 0.540399718
 , , , 5.427, 0.540399718
 , , , 5.446, 0.540399718
 , , , 5.465, 0.540399718
 , , , 5.484, 0.540399718
 , , , 5.503, 0.540399718
 , , , 5.522, 0.540399718
 , , , 5.541, 0.540399718
 , , , 5.56, 0.540399718
 , , , 5.579, 0.540399718
 , , , 5.598, 0.540399718
 , , , 5.617, 0.540399718
 , , , 5.636, 0.540399718
 , , , 5.655, 0.540399718
 , , , 5.674, 0.540399718
 , , , 5.693, 0.540399718
 , , , 5.712, 0.540399718
 , , , 5.731, 0.540399718
 , , , 5.75, 0.540399718
 , , , 5.769, 0.540399718
 , , , 5.788, 0.540399718
 , , , 5.807, 0.540399718
 , , , 5.826, 0.540399718
 , , , 5.845, 0.540399718
 , , , 5.864, 0.540399718
 , , , 5.883, 0.540399718
 , , , 5.902, 0.502971058
 , , , 5.921, 0.502971058
 , , , 5.94, 0.502971058
 , , , 5.959, 0.502971058
 , , , 5.978, 0.502971058
 , , , 5.997, 0.502971058
 , , , 6.016, 0.502971058
 , , , 6.035, 0.502971058
 , , , 6.054, 0.502971058
 , , , 6.073, 0.502971058
 , , , 6.092, 0.502971058
 , , , 6.111, 0.502971058
 , , , 6.13, 0.502971058
 , , , 6.149, 0.502971058
 , , , 6.168, 0.502971058
 , , , 6.187, 0.502971058
 , , , 6.206, 0.502971058
 , , , 6.225, 0.502971058
 , , , 6.244, 0.502971058
 , , , 6.263, 0.502971058
 , , , 6.282, 0.502971058
 , , , 6.301, 0.502971058
 , , , 6.32, 0.502971058
 , , , 6.339, 0.502971058
 , , , 6.358, 0.502971058
 , , , 6.377, 0.502971058
 , , , 6.396, 0.502971058
 , , , 6.415, 0.502971058
 , , , 6.434, 0.502971058
 , , , 6.453, 0.502971058
 , , , 6.472, 0.502971058
 , , , 6.491, 0.502971058
 , , , 6.51, 0.502971058
 , , , 6.529, 0.502971058
 , , , 6.548, 0.502971058
 , , , 6.567, 0.502971058
 , , , 6.586, 0.502971058
 , , , 6.605, 0.502971058
 , , , 6.624, 0.502971058
 , , , 6.643, 0.502971058
 , , , 6.662, 0.502971058
 , , , 6.681, 0.502971058
 , , , 6.7, 0.502971058
 , , , 6.719, 0.502971058
 , , , 6.738, 0.502971058
 , , , 6.757, 0.502971058
 , , , 6.776, 0.502971058
 , , , 6.795, 0.502971058
 , , , 6.814, 0.502971058
 , , , 6.833, 0.502971058
 , , , 6.852, 0.502971058
 , , , 6.871, 0.502971058
 , , , 6.89, 0.502971058
 , , , 6.909, 0.427937206
 , , , 6.928, 0.427937206
 , , , 6.947, 0.427937206
 , , , 6.966, 0.427937206
 , , , 6.985, 0.427937206
 , , , 7.004, 0.427937206
 , , , 7.023, 0.427937206
 , , , 7.042, 0.427937206
 , , , 7.061, 0.427937206
 , , , 7.08, 0.427937206
 , , , 7.099, 0.427937206
 , , , 7.118, 0.427937206
 , , , 7.137, 0.427937206
 , , , 7.156, 0.427937206
 , , , 7.175, 0.427937206
 , , , 7.194, 0.427937206
 , , , 7.213, 0.427937206
 , , , 7.232, 0.427937206
 , , , 7.251, 0.427937206
 , , , 7.27, 0.427937206
 , , , 7.289, 0.427937206
 , , , 7.308, 0.427937206
 , , , 7.327, 0.427937206
 , , , 7.346, 0.427937206
 , , , 7.365, 0.427937206
 , , , 7.384, 0.427937206
 , , , 7.403, 0.427937206
 , , , 7.422, 0.427937206
 , , , 7.441, 0.427937206
 , , , 7.46, 0.427937206
 , , , 7.479, 0.427937206
 , , , 7.498, 0.427937206
 , , , 7.517, 0.427937206
 , , , 7.536, 0.427937206
 , , , 7.555, 0.427937206
 , , , 7.574, 0.427937206
 , , , 7.593, 0.427937206
 , , , 7.612, 0.427937206
 , , , 7.631, 0.427937206
 , , , 7.65, 0.427937206
 , , , 7.669, 0.427937206
 , , , 7.688, 0.427937206
 , , , 7.707, 0.427937206
 , , , 7.726, 0.427937206
 , , , 7.745, 0.427937206
 , , , 7.764, 0.427937206
 , , , 7.783, 0.427937206
 , , , 7.802, 0.427937206
 , , , 7.821, 0.427937206
 , , , 7.84, 0.427937206
 , , , 7.859, 0.427937206
 , , , 7.878, 0.427937206
 , , , 7.897, 0.427937206
 , , , 7.916, 0.359563861
 , , , 7.935, 0.359563861
 , , , 7.954, 0.359563861
 , , , 7.973, 0.359563861
 , , , 7.992, 0.359563861
 , , , 8.011, 0.359563861
 , , , 8.03, 0.359563861
 , , , 8.049, 0.359563861
 , , , 8.068, 0.359563861
 , , , 8.087, 0.359563861
 , , , 8.106, 0.359563861
 , , , 8.125, 0.359563861
 , , , 8.144, 0.359563861
 , , , 8.163, 0.359563861
 , , , 8.182, 0.359563861
 , , , 8.201, 0.359563861
 , , , 8.22, 0.359563861
 , , , 8.239, 0.359563861
 , , , 8.258, 0.359563861
 , , , 8.277, 0.359563861
 , , , 8.296, 0.359563861
 , , , 8.315, 0.359563861
 , , , 8.334, 0.359563861
 , , , 8.353, 0.359563861
 , , , 8.372, 0.359563861
 , , , 8.391, 0.359563861
 , , , 8.41, 0.359563861
 , , , 8.429, 0.359563861
 , , , 8.448, 0.359563861
 , , , 8.467, 0.359563861
 , , , 8.486, 0.359563861
 , , , 8.505, 0.359563861
 , , , 8.524, 0.359563861
 , , , 8.543, 0.359563861
 , , , 8.562, 0.359563861
 , , , 8.581, 0.359563861
 , , , 8.6, 0.359563861
 , , , 8.619, 0.359563861
 , , , 8.638, 0.359563861
 , , , 8.657, 0.359563861
 , , , 8.676, 0.359563861
 , , , 8.695, 0.359563861
 , , , 8.714, 0.359563861
 , , , 8.733, 0.359563861
 , , , 8.752, 0.359563861
 , , , 8.771, 0.359563861
 , , , 8.79, 0.359563861
 , , , 8.809, 0.359563861
 , , , 8.828, 0.359563861
 , , , 8.847, 0.359563861
 , , , 8.866, 0.359563861
 , , , 8.885, 0.359563861
 , , , 8.904, 0.313339804
 , , , 8.923, 0.313339804
 , , , 8.942, 0.313339804
 , , , 8.961, 0.313339804
 , , , 8.98, 0.313339804
 , , , 8.999, 0.313339804
 , , , 9.018, 0.313339804
 , , , 9.037, 0.313339804
 , , , 9.056, 0.313339804
 , , , 9.075, 0.313339804
 , , , 9.094, 0.313339804
 , , , 9.113, 0.313339804
 , , , 9.132, 0.313339804
 , , , 9.151, 0.313339804
 , , , 9.17, 0.313339804
 , , , 9.189, 0.313339804
 , , , 9.208, 0.313339804
 , , , 9.227, 0.313339804
 , , , 9.246, 0.313339804
 , , , 9.265, 0.313339804
 , , , 9.284, 0.313339804
 , , , 9.303, 0.313339804
 , , , 9.322, 0.313339804
 , , , 9.341, 0.313339804
 , , , 9.36, 0.313339804
 , , , 9.379, 0.313339804
 , , , 9.398, 0.313339804
 , , , 9.417, 0.313339804
 , , , 9.436, 0.313339804
 , , , 9.455, 0.313339804
 , , , 9.474, 0.313339804
 , , , 9.493, 0.313339804
 , , , 9.512, 0.313339804
 , , , 9.531, 0.313339804
 , , , 9.55, 0.313339804
 , , , 9.569, 0.313339804
 , , , 9.588, 0.313339804
 , , , 9.607, 0.313339804
 , , , 9.626, 0.313339804
 , , , 9.645, 0.313339804
 , , , 9.664, 0.313339804
 , , , 9.683, 0.313339804
 , , , 9.702, 0.313339804
 , , , 9.721, 0.313339804
 , , , 9.74, 0.313339804
 , , , 9.759, 0.313339804
 , , , 9.778, 0.313339804
 , , , 9.797, 0.313339804
 , , , 9.816, 0.313339804
 , , , 9.835, 0.313339804
 , , , 9.854, 0.313339804
 , , , 9.873, 0.313339804
 , , , 9.892, 0.313339804
 , , , 9.911, 0.28498397
 , , , 9.93, 0.28498397
 , , , 9.949, 0.28498397
 , , , 9.968, 0.28498397
 , , , 9.987, 0.28498397
 , , , 10.006, 0.28498397
 , , , 10.025, 0.28498397
 , , , 10.044, 0.28498397
 , , , 10.063, 0.28498397
 , , , 10.082, 0.28498397
 , , , 10.101, 0.28498397
 , , , 10.12, 0.28498397
 , , , 10.139, 0.28498397
 , , , 10.158, 0.28498397
 , , , 10.177, 0.28498397
 , , , 10.196, 0.28498397
 , , , 10.215, 0.28498397
 , , , 10.234, 0.28498397
 , , , 10.253, 0.28498397
 , , , 10.272, 0.28498397
 , , , 10.291, 0.28498397
 , , , 10.31, 0.28498397
 , , , 10.329, 0.28498397
 , , , 10.348, 0.28498397
 , , , 10.367, 0.28498397
 , , , 10.386, 0.28498397
 , , , 10.405, 0.28498397
 , , , 10.424, 0.28498397
 , , , 10.443, 0.28498397
 , , , 10.462, 0.28498397
 , , , 10.481, 0.28498397
 , , , 10.5, 0.28498397
 , , , 10.519, 0.28498397
 , , , 10.538, 0.28498397
 , , , 10.557, 0.28498397
 , , , 10.576, 0.28498397
 , , , 10.595, 0.28498397
 , , , 10.614, 0.28498397
 , , , 10.633, 0.28498397
 , , , 10.652, 0.28498397
 , , , 10.671, 0.28498397
 , , , 10.69, 0.28498397
 , , , 10.709, 0.28498397
 , , , 10.728, 0.28498397
 , , , 10.747, 0.28498397
 , , , 10.766, 0.28498397
 , , , 10.785, 0.28498397
 , , , 10.804, 0.28498397
 , , , 10.823, 0.28498397
 , , , 10.842, 0.28498397
 , , , 10.861, 0.28498397
 , , , 10.88, 0.28498397
 , , , 10.899, 0.28498397
 , , , 10.918, 0.260829115
 , , , 10.937, 0.260829115
 , , , 10.956, 0.260829115
 , , , 10.975, 0.260829115
 , , , 10.994, 0.260829115
 , , , 11.013, 0.260829115
 , , , 11.032, 0.260829115
 , , , 11.051, 0.260829115
 , , , 11.07, 0.260829115
 , , , 11.089, 0.260829115
 , , , 11.108, 0.260829115
 , , , 11.127, 0.260829115
 , , , 11.146, 0.260829115
 , , , 11.165, 0.260829115
 , , , 11.184, 0.260829115
 , , , 11.203, 0.260829115
 , , , 11.222, 0.260829115
 , , , 11.241, 0.260829115
 , , , 11.26, 0.260829115
 , , , 11.279, 0.260829115
 , , , 11.298, 0.260829115
 , , , 11.317, 0.260829115
 , , , 11.336, 0.260829115
 , , , 11.355, 0.260829115
 , , , 11.374, 0.260829115
 , , , 11.393, 0.260829115
 , , , 11.412, 0.260829115
 , , , 11.431, 0.260829115
 , , , 11.45, 0.260829115
 , , , 11.469, 0.260829115
 , , , 11.488, 0.260829115
 , , , 11.507, 0.260829115
 , , , 11.526, 0.260829115
 , , , 11.545, 0.260829115
 , , , 11.564, 0.260829115
 , , , 11.583, 0.260829115
 , , , 11.602, 0.260829115
 , , , 11.621, 0.260829115
 , , , 11.64, 0.260829115
 , , , 11.659, 0.260829115
 , , , 11.678, 0.260829115
 , , , 11.697, 0.260829115
 , , , 11.716, 0.260829115
 , , , 11.735, 0.260829115
 , , , 11.754, 0.260829115
 , , , 11.773, 0.260829115
 , , , 11.792, 0.260829115
 , , , 11.811, 0.260829115
 , , , 11.83, 0.260829115
 , , , 11.849, 0.260829115
 , , , 11.868, 0.260829115
 , , , 11.887, 0.260829115
 , , , 11.906, 0.222128685
 , , , 11.925, 0.222128685
 , , , 11.944, 0.222128685
 , , , 11.963, 0.222128685
 , , , 11.982, 0.222128685
 , , , 12.001, 0.222128685
 , , , 12.02, 0.222128685
 , , , 12.039, 0.222128685
 , , , 12.058, 0.222128685
 , , , 12.077, 0.222128685
 , , , 12.096, 0.222128685
 , , , 12.115, 0.222128685
 , , , 12.134, 0.222128685
 , , , 12.153, 0.222128685
 , , , 12.172, 0.222128685
 , , , 12.191, 0.222128685
 , , , 12.21, 0.222128685
 , , , 12.229, 0.222128685
 , , , 12.248, 0.222128685
 , , , 12.267, 0.222128685
 , , , 12.286, 0.222128685
 , , , 12.305, 0.222128685
 , , , 12.324, 0.222128685
 , , , 12.343, 0.222128685
 , , , 12.362, 0.222128685
 , , , 12.381, 0.222128685
 , , , 12.4, 0.222128685
 , , , 12.419, 0.222128685
 , , , 12.438, 0.222128685
 , , , 12.457, 0.222128685
 , , , 12.476, 0.222128685
 , , , 12.495, 0.222128685
 , , , 12.514, 0.222128685
 , , , 12.533, 0.222128685
 , , , 12.552, 0.222128685
 , , , 12.571, 0.222128685
 , , , 12.59, 0.222128685
 , , , 12.609, 0.222128685
 , , , 12.628, 0.222128685
 , , , 12.647, 0.222128685
 , , , 12.666, 0.222128685
 , , , 12.685, 0.222128685
 , , , 12.704, 0.222128685
 , , , 12.723, 0.222128685
 , , , 12.742, 0.222128685
 , , , 12.761, 0.222128685
 , , , 12.78, 0.222128685
 , , , 12.799, 0.222128685
 , , , 12.818, 0.222128685
 , , , 12.837, 0.222128685
 , , , 12.856, 0.222128685
 , , , 12.875, 0.222128685
 , , , 12.894, 0.222128685
 , , , 12.913, 0.173030691
 , , , 12.932, 0.173030691
 , , , 12.951, 0.173030691
 , , , 12.97, 0.173030691
 , , , 12.989, 0.173030691
 , , , 13.008, 0.173030691
 , , , 13.027, 0.173030691
 , , , 13.046, 0.173030691
 , , , 13.065, 0.173030691
 , , , 13.084, 0.173030691
 , , , 13.103, 0.173030691
 , , , 13.122, 0.173030691
 , , , 13.141, 0.173030691
 , , , 13.16, 0.173030691
 , , , 13.179, 0.173030691
 , , , 13.198, 0.173030691
 , , , 13.217, 0.173030691
 , , , 13.236, 0.173030691
 , , , 13.255, 0.173030691
 , , , 13.274, 0.173030691
 , , , 13.293, 0.173030691
 , , , 13.312, 0.173030691
 , , , 13.331, 0.173030691
 , , , 13.35, 0.173030691
 , , , 13.369, 0.173030691
 , , , 13.388, 0.173030691
 , , , 13.407, 0.173030691
 , , , 13.426, 0.173030691
 , , , 13.445, 0.173030691
 , , , 13.464, 0.173030691
 , , , 13.483, 0.173030691
 , , , 13.502, 0.173030691
 , , , 13.521, 0.173030691
 , , , 13.54, 0.173030691
 , , , 13.559, 0.173030691
 , , , 13.578, 0.173030691
 , , , 13.597, 0.173030691
 , , , 13.616, 0.173030691
 , , , 13.635, 0.173030691
 , , , 13.654, 0.173030691
 , , , 13.673, 0.173030691
 , , , 13.692, 0.173030691
 , , , 13.711, 0.173030691
 , , , 13.73, 0.173030691
 , , , 13.749, 0.173030691
 , , , 13.768, 0.173030691
 , , , 13.787, 0.173030691
 , , , 13.806, 0.173030691
 , , , 13.825, 0.173030691
 , , , 13.844, 0.173030691
 , , , 13.863, 0.173030691
 , , , 13.882, 0.173030691
 , , , 13.901, 0.131982064
 , , , 13.92, 0.131982064
 , , , 13.939, 0.131982064
 , , , 13.958, 0.131982064
 , , , 13.977, 0.131982064
 , , , 13.996, 0.131982064
 , , , 14.015, 0.131982064
 , , , 14.034, 0.131982064
 , , , 14.053, 0.131982064
 , , , 14.072, 0.131982064
 , , , 14.091, 0.131982064
 , , , 14.11, 0.131982064
 , , , 14.129, 0.131982064
 , , , 14.148, 0.131982064
 , , , 14.167, 0.131982064
 , , , 14.186, 0.131982064
 , , , 14.205, 0.131982064
 , , , 14.224, 0.131982064
 , , , 14.243, 0.131982064
 , , , 14.262, 0.131982064
 , , , 14.281, 0.131982064
 , , , 14.3, 0.131982064
 , , , 14.319, 0.131982064
 , , , 14.338, 0.131982064
 , , , 14.357, 0.131982064
 , , , 14.376, 0.131982064
 , , , 14.395, 0.131982064
 , , , 14.414, 0.131982064
 , , , 14.433, 0.131982064
 , , , 14.452, 0.131982064
 , , , 14.471, 0.131982064
 , , , 14.49, 0.131982064
 , , , 14.509, 0.131982064
 , , , 14.528, 0.131982064
 , , , 14.547, 0.131982064
 , , , 14.566, 0.131982064
 , , , 14.585, 0.131982064
 , , , 14.604, 0.131982064
 , , , 14.623, 0.131982064
 , , , 14.642, 0.131982064
 , , , 14.661, 0.131982064
 , , , 14.68, 0.131982064
 , , , 14.699, 0.131982064
 , , , 14.718, 0.131982064
 , , , 14.737, 0.131982064
 , , , 14.756, 0.131982064
 , , , 14.775, 0.131982064
 , , , 14.794, 0.131982064
 , , , 14.813, 0.131982064
 , , , 14.832, 0.131982064
 , , , 14.851, 0.131982064
 , , , 14.87, 0.131982064
 , , , 14.889, 0.131982064
 , , , 14.908, 0.104180288
 , , , 14.927, 0.104180288
 , , , 14.946, 0.104180288
 , , , 14.965, 0.104180288
 , , , 14.984, 0.104180288
 , , , 15.003, 0.104180288
 , , , 15.022, 0.104180288
 , , , 15.041, 0.104180288
 , , , 15.06, 0.104180288
 , , , 15.079, 0.104180288
 , , , 15.098, 0.104180288
 , , , 15.117, 0.104180288
 , , , 15.136, 0.104180288
 , , , 15.155, 0.104180288
 , , , 15.174, 0.104180288
 , , , 15.193, 0.104180288
 , , , 15.212, 0.104180288
 , , , 15.231, 0.104180288
 , , , 15.25, 0.104180288
 , , , 15.269, 0.104180288
 , , , 15.288, 0.104180288
 , , , 15.307, 0.104180288
 , , , 15.326, 0.104180288
 , , , 15.345, 0.104180288
 , , , 15.364, 0.104180288
 , , , 15.383, 0.104180288
 , , , 15.402, 0.104180288
 , , , 15.421, 0.104180288
 , , , 15.44, 0.104180288
 , , , 15.459, 0.104180288
 , , , 15.478, 0.104180288
 , , , 15.497, 0.104180288
 , , , 15.516, 0.104180288
 , , , 15.535, 0.104180288
 , , , 15.554, 0.104180288
 , , , 15.573, 0.104180288
 , , , 15.592, 0.104180288
 , , , 15.611, 0.104180288
 , , , 15.63, 0.104180288
 , , , 15.649, 0.104180288
 , , , 15.668, 0.104180288
 , , , 15.687, 0.104180288
 , , , 15.706, 0.104180288
 , , , 15.725, 0.104180288
 , , , 15.744, 0.104180288
 , , , 15.763, 0.104180288
 , , , 15.782, 0.104180288
 , , , 15.801, 0.104180288
 , , , 15.82, 0.104180288
 , , , 15.839, 0.104180288
 , , , 15.858, 0.104180288
 , , , 15.877, 0.104180288
 , , , 15.896, 0.104180288
 , , , 15.915, 0.0857850017
 , , , 15.934, 0.0857850017
 , , , 15.953, 0.0857850017
 , , , 15.972, 0.0857850017
 , , , 15.991, 0.0857850017
 , , , 16.01, 0.0857850017
 , , , 16.029, 0.0857850017
 , , , 16.048, 0.0857850017
 , , , 16.067, 0.0857850017
 , , , 16.086, 0.0857850017
 , , , 16.105, 0.0857850017
 , , , 16.124, 0.0857850017
 , , , 16.143, 0.0857850017
 , , , 16.162, 0.0857850017
 , , , 16.181, 0.0857850017
 , , , 16.2, 0.0857850017
 , , , 16.219, 0.0857850017
 , , , 16.238, 0.0857850017
 , , , 16.257, 0.0857850017
 , , , 16.276, 0.0857850017
 , , , 16.295, 0.0857850017
 , , , 16.314, 0.0857850017
 , , , 16.333, 0.0857850017
 , , , 16.352, 0.0857850017
 , , , 16.371, 0.0857850017
 , , , 16.39, 0.0857850017
 , , , 16.409, 0.0857850017
 , , , 16.428, 0.0857850017
 , , , 16.447, 0.0857850017
 , , , 16.466, 0.0857850017
 , , , 16.485, 0.0857850017
 , , , 16.504, 0.0857850017
 , , , 16.523, 0.0857850017
 , , , 16.542, 0.0857850017
 , , , 16.561, 0.0857850017
 , , , 16.58, 0.0857850017
 , , , 16.599, 0.0857850017
 , , , 16.618, 0.0857850017
 , , , 16.637, 0.0857850017
 , , , 16.656, 0.0857850017
 , , , 16.675, 0.0857850017
 , , , 16.694, 0.0857850017
 , , , 16.713, 0.0857850017
 , , , 16.732, 0.0857850017
 , , , 16.751, 0.0857850017
 , , , 16.77, 0.0857850017
 , , , 16.789, 0.0857850017
 , , , 16.808, 0.0857850017
 , , , 16.827, 0.0857850017
 , , , 16.846, 0.0857850017
 , , , 16.865, 0.0857850017
 , , , 16.884, 0.0857850017
 , , , 16.903, 0.0746037183
 , , , 16.922, 0.0746037183
 , , , 16.941, 0.0746037183
 , , , 16.96, 0.0746037183
 , , , 16.979, 0.0746037183
 , , , 16.998, 0.0746037183
 , , , 17.017, 0.0746037183
 , , , 17.036, 0.0746037183
 , , , 17.055, 0.0746037183
 , , , 17.074, 0.0746037183
 , , , 17.093, 0.0746037183
 , , , 17.112, 0.0746037183
 , , , 17.131, 0.0746037183
 , , , 17.15, 0.0746037183
 , , , 17.169, 0.0746037183
 , , , 17.188, 0.0746037183
 , , , 17.207, 0.0746037183
 , , , 17.226, 0.0746037183
 , , , 17.245, 0.0746037183
 , , , 17.264, 0.0746037183
 , , , 17.283, 0.0746037183
 , , , 17.302, 0.0746037183
 , , , 17.321, 0.0746037183
 , , , 17.34, 0.0746037183
 , , , 17.359, 0.0746037183
 , , , 17.378, 0.0746037183
 , , , 17.397, 0.0746037183
 , , , 17.416, 0.0746037183
