% xData0 , data0, errData0, xTheory0 , theory0
7.9839, 0.3723, 0.0077, 0.025, 0
6.9821, 0.4267, 0.0084, 0.05, 0
5.9812, 0.4957, 0.0086, 0.075, 0
4.981, 0.5366, 0.009, 0.1, 0
3.9812, 0.5488, 0.0096, 0.125, 0.571325366
8.9849, 0.3194, 0.0071, 0.15, 0.571325366
9.9839, 0.2868, 0.0071, 0.175, 0.571325366
10.9817, 0.2461, 0.007, 0.2, 0.571325366
11.9838, 0.2126, 0.0074, 0.225, 0.571325366
12.9836, 0.1806, 0.0078, 0.25, 0.571325366
13.9955, 0.1447, 0.0078, 0.275, 0.571325366
14.9947, 0.1187, 0.0083, 0.3, 0.571325366
15.995, 0.0745, 0.0078, 0.325, 0.571325366
17.9948, 0.0716, 0.0087, 0.35, 0.571325366
19.9966, 0.0492, 0.0073, 0.375, 0.571325366
7.9801, 0.3491, 0.0116, 0.4, 0.571325366
 , , , 0.425, 0.571325366
 , , , 0.45, 0.571325366
 , , , 0.475, 0.571325366
 , , , 0.5, 0.571325366
 , , , 0.525, 0.571325366
 , , , 0.55, 0.571325366
 , , , 0.575, 0.571325366
 , , , 0.6, 0.571325366
 , , , 0.625, 0.571325366
 , , , 0.65, 0.571325366
 , , , 0.675, 0.571325366
 , , , 0.7, 0.571325366
 , , , 0.725, 0.571325366
 , , , 0.75, 0.571325366
 , , , 0.775, 0.571325366
 , , , 0.8, 0.571325366
 , , , 0.825, 0.571325366
 , , , 0.85, 0.571325366
 , , , 0.875, 0.571325366
 , , , 0.9, 0.571325366
 , , , 0.925, 0.571325366
 , , , 0.95, 0.571325366
 , , , 0.975, 0.571325366
 , , , 1, 0.571325366
 , , , 1.025, 0.571325366
 , , , 1.05, 0.571325366
 , , , 1.075, 0.571325366
 , , , 1.1, 0.571325366
 , , , 1.125, 0.571325366
 , , , 1.15, 0.571325366
 , , , 1.175, 0.571325366
 , , , 1.2, 0.571325366
 , , , 1.225, 0.571325366
 , , , 1.25, 0.571325366
 , , , 1.275, 0.571325366
 , , , 1.3, 0.571325366
 , , , 1.325, 0.571325366
 , , , 1.35, 0.571325366
 , , , 1.375, 0.571325366
 , , , 1.4, 0.571325366
 , , , 1.425, 0.571325366
 , , , 1.45, 0.571325366
 , , , 1.475, 0.571325366
 , , , 1.5, 0.571325366
 , , , 1.525, 0.571325366
 , , , 1.55, 0.571325366
 , , , 1.575, 0.571325366
 , , , 1.6, 0.571325366
 , , , 1.625, 0.571325366
 , , , 1.65, 0.571325366
 , , , 1.675, 0.571325366
 , , , 1.7, 0.571325366
 , , , 1.725, 0.571325366
 , , , 1.75, 0.571325366
 , , , 1.775, 0.571325366
 , , , 1.8, 0.571325366
 , , , 1.825, 0.571325366
 , , , 1.85, 0.571325366
 , , , 1.875, 0.571325366
 , , , 1.9, 0.571325366
 , , , 1.925, 0.571325366
 , , , 1.95, 0.571325366
 , , , 1.975, 0.571325366
 , , , 2, 0.571325366
 , , , 2.025, 0.571322442
 , , , 2.05, 0.571322442
 , , , 2.075, 0.571322442
 , , , 2.1, 0.571322442
 , , , 2.125, 0.571322442
 , , , 2.15, 0.571322442
 , , , 2.175, 0.571322442
 , , , 2.2, 0.571322442
 , , , 2.225, 0.571322442
 , , , 2.25, 0.571322442
 , , , 2.275, 0.571322442
 , , , 2.3, 0.571322442
 , , , 2.325, 0.571322442
 , , , 2.35, 0.571322442
 , , , 2.375, 0.571322442
 , , , 2.4, 0.571322442
 , , , 2.425, 0.571322442
 , , , 2.45, 0.571322442
 , , , 2.475, 0.571322442
 , , , 2.5, 0.571322442
 , , , 2.525, 0.571322442
 , , , 2.55, 0.571322442
 , , , 2.575, 0.571322442
 , , , 2.6, 0.571322442
 , , , 2.625, 0.571322442
 , , , 2.65, 0.571322442
 , , , 2.675, 0.571322442
 , , , 2.7, 0.571322442
 , , , 2.725, 0.571322442
 , , , 2.75, 0.571322442
 , , , 2.775, 0.571322442
 , , , 2.8, 0.571322442
 , , , 2.825, 0.571322442
 , , , 2.85, 0.571322442
 , , , 2.875, 0.571322442
 , , , 2.9, 0.571322442
 , , , 2.925, 0.571322442
 , , , 2.95, 0.571322442
 , , , 2.975, 0.571322442
 , , , 3, 0.571322442
 , , , 3.025, 0.57038131
 , , , 3.05, 0.57038131
 , , , 3.075, 0.57038131
 , , , 3.1, 0.57038131
 , , , 3.125, 0.57038131
 , , , 3.15, 0.57038131
 , , , 3.175, 0.57038131
 , , , 3.2, 0.57038131
 , , , 3.225, 0.57038131
 , , , 3.25, 0.57038131
 , , , 3.275, 0.57038131
 , , , 3.3, 0.57038131
 , , , 3.325, 0.57038131
 , , , 3.35, 0.57038131
 , , , 3.375, 0.57038131
 , , , 3.4, 0.57038131
 , , , 3.425, 0.57038131
 , , , 3.45, 0.57038131
 , , , 3.475, 0.57038131
 , , , 3.5, 0.57038131
 , , , 3.525, 0.57038131
 , , , 3.55, 0.57038131
 , , , 3.575, 0.57038131
 , , , 3.6, 0.57038131
 , , , 3.625, 0.57038131
 , , , 3.65, 0.57038131
 , , , 3.675, 0.57038131
 , , , 3.7, 0.57038131
 , , , 3.725, 0.57038131
 , , , 3.75, 0.57038131
 , , , 3.775, 0.57038131
 , , , 3.8, 0.57038131
 , , , 3.825, 0.57038131
 , , , 3.85, 0.57038131
 , , , 3.875, 0.57038131
 , , , 3.9, 0.57038131
 , , , 3.925, 0.57038131
 , , , 3.95, 0.57038131
 , , , 3.975, 0.57038131
 , , , 4, 0.57038131
 , , , 4.025, 0.546789737
 , , , 4.05, 0.546789737
 , , , 4.075, 0.546789737
 , , , 4.1, 0.546789737
 , , , 4.125, 0.546789737
 , , , 4.15, 0.546789737
 , , , 4.175, 0.546789737
 , , , 4.2, 0.546789737
 , , , 4.225, 0.546789737
 , , , 4.25, 0.546789737
 , , , 4.275, 0.546789737
 , , , 4.3, 0.546789737
 , , , 4.325, 0.546789737
 , , , 4.35, 0.546789737
 , , , 4.375, 0.546789737
 , , , 4.4, 0.546789737
 , , , 4.425, 0.546789737
 , , , 4.45, 0.546789737
 , , , 4.475, 0.546789737
 , , , 4.5, 0.546789737
 , , , 4.525, 0.546789737
 , , , 4.55, 0.546789737
 , , , 4.575, 0.546789737
 , , , 4.6, 0.546789737
 , , , 4.625, 0.546789737
 , , , 4.65, 0.546789737
 , , , 4.675, 0.546789737
 , , , 4.7, 0.546789737
 , , , 4.725, 0.546789737
 , , , 4.75, 0.546789737
 , , , 4.775, 0.546789737
 , , , 4.8, 0.546789737
 , , , 4.825, 0.546789737
 , , , 4.85, 0.546789737
 , , , 4.875, 0.546789737
 , , , 4.9, 0.546789737
 , , , 4.925, 0.546789737
 , , , 4.95, 0.546789737
 , , , 4.975, 0.546789737
 , , , 5, 0.473046279
 , , , 5.025, 0.473046279
 , , , 5.05, 0.473046279
 , , , 5.075, 0.473046279
 , , , 5.1, 0.473046279
 , , , 5.125, 0.473046279
 , , , 5.15, 0.473046279
 , , , 5.175, 0.473046279
 , , , 5.2, 0.473046279
 , , , 5.225, 0.473046279
 , , , 5.25, 0.473046279
 , , , 5.275, 0.473046279
 , , , 5.3, 0.473046279
 , , , 5.325, 0.473046279
 , , , 5.35, 0.473046279
 , , , 5.375, 0.473046279
 , , , 5.4, 0.473046279
 , , , 5.425, 0.473046279
 , , , 5.45, 0.473046279
 , , , 5.475, 0.473046279
 , , , 5.5, 0.473046279
 , , , 5.525, 0.473046279
 , , , 5.55, 0.473046279
 , , , 5.575, 0.473046279
 , , , 5.6, 0.473046279
 , , , 5.625, 0.473046279
 , , , 5.65, 0.473046279
 , , , 5.675, 0.473046279
 , , , 5.7, 0.473046279
 , , , 5.725, 0.473046279
 , , , 5.75, 0.473046279
 , , , 5.775, 0.473046279
 , , , 5.8, 0.473046279
 , , , 5.825, 0.473046279
 , , , 5.85, 0.473046279
 , , , 5.875, 0.473046279
 , , , 5.9, 0.473046279
 , , , 5.925, 0.473046279
 , , , 5.95, 0.473046279
 , , , 5.975, 0.473046279
 , , , 6, 0.400134087
 , , , 6.025, 0.400134087
 , , , 6.05, 0.400134087
 , , , 6.075, 0.400134087
 , , , 6.1, 0.400134087
 , , , 6.125, 0.400134087
 , , , 6.15, 0.400134087
 , , , 6.175, 0.400134087
 , , , 6.2, 0.400134087
 , , , 6.225, 0.400134087
 , , , 6.25, 0.400134087
 , , , 6.275, 0.400134087
 , , , 6.3, 0.400134087
 , , , 6.325, 0.400134087
 , , , 6.35, 0.400134087
 , , , 6.375, 0.400134087
 , , , 6.4, 0.400134087
 , , , 6.425, 0.400134087
 , , , 6.45, 0.400134087
 , , , 6.475, 0.400134087
 , , , 6.5, 0.400134087
 , , , 6.525, 0.400134087
 , , , 6.55, 0.400134087
 , , , 6.575, 0.400134087
 , , , 6.6, 0.400134087
 , , , 6.625, 0.400134087
 , , , 6.65, 0.400134087
 , , , 6.675, 0.400134087
 , , , 6.7, 0.400134087
 , , , 6.725, 0.400134087
 , , , 6.75, 0.400134087
 , , , 6.775, 0.400134087
 , , , 6.8, 0.400134087
 , , , 6.825, 0.400134087
 , , , 6.85, 0.400134087
 , , , 6.875, 0.400134087
 , , , 6.9, 0.400134087
 , , , 6.925, 0.400134087
 , , , 6.95, 0.400134087
 , , , 6.975, 0.400134087
 , , , 7, 0.354042218
 , , , 7.025, 0.354042218
 , , , 7.05, 0.354042218
 , , , 7.075, 0.354042218
 , , , 7.1, 0.354042218
 , , , 7.125, 0.354042218
 , , , 7.15, 0.354042218
 , , , 7.175, 0.354042218
 , , , 7.2, 0.354042218
 , , , 7.225, 0.354042218
 , , , 7.25, 0.354042218
 , , , 7.275, 0.354042218
 , , , 7.3, 0.354042218
 , , , 7.325, 0.354042218
 , , , 7.35, 0.354042218
 , , , 7.375, 0.354042218
 , , , 7.4, 0.354042218
 , , , 7.425, 0.354042218
 , , , 7.45, 0.354042218
 , , , 7.475, 0.354042218
 , , , 7.5, 0.354042218
 , , , 7.525, 0.354042218
 , , , 7.55, 0.354042218
 , , , 7.575, 0.354042218
 , , , 7.6, 0.354042218
 , , , 7.625, 0.354042218
 , , , 7.65, 0.354042218
 , , , 7.675, 0.354042218
 , , , 7.7, 0.354042218
 , , , 7.725, 0.354042218
 , , , 7.75, 0.354042218
 , , , 7.775, 0.354042218
 , , , 7.8, 0.354042218
 , , , 7.825, 0.354042218
 , , , 7.85, 0.354042218
 , , , 7.875, 0.354042218
 , , , 7.9, 0.354042218
 , , , 7.925, 0.354042218
 , , , 7.95, 0.354042218
 , , , 7.975, 0.354042218
 , , , 8, 0.328451244
 , , , 8.025, 0.328451244
 , , , 8.05, 0.328451244
 , , , 8.075, 0.328451244
 , , , 8.1, 0.328451244
 , , , 8.125, 0.328451244
 , , , 8.15, 0.328451244
 , , , 8.175, 0.328451244
 , , , 8.2, 0.328451244
 , , , 8.225, 0.328451244
 , , , 8.25, 0.328451244
 , , , 8.275, 0.328451244
 , , , 8.3, 0.328451244
 , , , 8.325, 0.328451244
 , , , 8.35, 0.328451244
 , , , 8.375, 0.328451244
 , , , 8.4, 0.328451244
 , , , 8.425, 0.328451244
 , , , 8.45, 0.328451244
 , , , 8.475, 0.328451244
 , , , 8.5, 0.328451244
 , , , 8.525, 0.328451244
 , , , 8.55, 0.328451244
 , , , 8.575, 0.328451244
 , , , 8.6, 0.328451244
 , , , 8.625, 0.328451244
 , , , 8.65, 0.328451244
 , , , 8.675, 0.328451244
 , , , 8.7, 0.328451244
 , , , 8.725, 0.328451244
 , , , 8.75, 0.328451244
 , , , 8.775, 0.328451244
 , , , 8.8, 0.328451244
 , , , 8.825, 0.328451244
 , , , 8.85, 0.328451244
 , , , 8.875, 0.328451244
 , , , 8.9, 0.328451244
 , , , 8.925, 0.328451244
 , , , 8.95, 0.328451244
 , , , 8.975, 0.328451244
 , , , 9, 0.308653597
 , , , 9.025, 0.308653597
 , , , 9.05, 0.308653597
 , , , 9.075, 0.308653597
 , , , 9.1, 0.308653597
 , , , 9.125, 0.308653597
 , , , 9.15, 0.308653597
 , , , 9.175, 0.308653597
 , , , 9.2, 0.308653597
 , , , 9.225, 0.308653597
 , , , 9.25, 0.308653597
 , , , 9.275, 0.308653597
 , , , 9.3, 0.308653597
 , , , 9.325, 0.308653597
 , , , 9.35, 0.308653597
 , , , 9.375, 0.308653597
 , , , 9.4, 0.308653597
 , , , 9.425, 0.308653597
 , , , 9.45, 0.308653597
 , , , 9.475, 0.308653597
 , , , 9.5, 0.308653597
 , , , 9.525, 0.308653597
 , , , 9.55, 0.308653597
 , , , 9.575, 0.308653597
 , , , 9.6, 0.308653597
 , , , 9.625, 0.308653597
 , , , 9.65, 0.308653597
 , , , 9.675, 0.308653597
 , , , 9.7, 0.308653597
 , , , 9.725, 0.308653597
 , , , 9.75, 0.308653597
 , , , 9.775, 0.308653597
 , , , 9.8, 0.308653597
 , , , 9.825, 0.308653597
 , , , 9.85, 0.308653597
 , , , 9.875, 0.308653597
 , , , 9.9, 0.308653597
 , , , 9.925, 0.308653597
 , , , 9.95, 0.308653597
 , , , 9.975, 0.308653597
 , , , 10, 0.266112036
 , , , 10.025, 0.266112036
 , , , 10.05, 0.266112036
 , , , 10.075, 0.266112036
 , , , 10.1, 0.266112036
 , , , 10.125, 0.266112036
